-0.6;8.0255;-9474.81
-0.5;7.9485;-9474.81
-0.4;8.0665;-9474.81
-0.3;8.4065;-9474.81
-0.2;8.2055;-9474.81
-0.1;7.957;-9474.81
0.0;7.362;-9474.81
0.1;7.3015;-9474.81
0.2;7.7865;-9474.81
0.3;7.959;-9474.81
0.4;7.8305;-9474.81
0.5;7.694;-9474.81
0.6;7.5985;-9474.81
0.7;7.5405;-9474.81
0.8;7.5825;-9474.81
0.9;7.7865;-9474.81
1.0;8.2085;-9474.81
1.1;7.7005;-9474.81
1.2;7.6765;-9474.81
1.3;7.719;-9474.81
1.4;7.868;-9474.81
1.5;7.8685;-9474.81
1.6;7.8445;-9474.81
1.7;8.186;-9474.81
1.8;8.471;-9474.81
1.9;8.452;-9474.81
2.0;8.318;-9474.81
2.1;8.214;-9474.81
2.2;8.0705;-9474.81
-2.2;8.2125;-9474.71
-2.1;8.144;-9474.71
-2.0;8.0755;-9474.71
-1.9;8.0075;-9474.71
-1.8;7.8935;-9474.71
-1.7;7.773;-9474.71
-1.6;7.9575;-9474.71
-1.5;8.376;-9474.71
-1.4;8.29;-9474.71
-1.3;8.198;-9474.71
-1.2;7.8505;-9474.71
-1.1;8.0405;-9474.71
-1.0;8.202;-9474.71
-0.9;8.1035;-9474.71
-0.8;8.0335;-9474.71
-0.7;8.1435;-9474.71
-0.6;8.1645;-9474.71
-0.5;8.032;-9474.71
-0.4;8.1345;-9474.71
-0.3;7.903;-9474.71
-0.2;7.819;-9474.71
-0.1;7.9925;-9474.71
0.0;8.0445;-9474.71
0.1;7.9625;-9474.71
0.2;7.999;-9474.71
0.3;8.0265;-9474.71
0.4;7.941;-9474.71
0.5;7.825;-9474.71
0.6;7.8765;-9474.71
0.7;7.999;-9474.71
0.8;7.922;-9474.71
0.9;8.0655;-9474.71
1.0;8.4655;-9474.71
1.1;8.1605;-9474.71
1.2;8.3145;-9474.71
1.3;8.2285;-9474.71
1.4;8.426;-9474.71
1.5;8.242;-9474.71
1.6;8.215;-9474.71
1.7;8.256;-9474.71
1.8;8.162;-9474.71
1.9;8.27;-9474.71
2.0;8.4345;-9474.71
2.1;8.105;-9474.71
2.2;8.129;-9474.71
2.3;8.269;-9474.71
2.4;8.2125;-9474.71
2.5;8.0185;-9474.71
2.6;7.926;-9474.71
2.7;7.9645;-9474.71
2.8;8.019;-9474.71
2.9;8.0705;-9474.71
3.0;8.125;-9474.71
3.1;8.181;-9474.71
3.2;8.2375;-9474.71
3.3;8.326;-9474.71
-2.2;8.473;-9474.61
-2.1;8.489;-9474.61
-2.0;8.4645;-9474.61
-1.9;8.4505;-9474.61
-1.8;8.425;-9474.61
-1.7;8.387;-9474.61
-1.6;8.4415;-9474.61
-1.5;8.5755;-9474.61
-1.4;8.5345;-9474.61
-1.3;8.4745;-9474.61
-1.2;8.382;-9474.61
-1.1;8.457;-9474.61
-1.0;8.4565;-9474.61
-0.9;8.2665;-9474.61
-0.8;8.2235;-9474.61
-0.7;8.293;-9474.61
-0.6;8.216;-9474.61
-0.5;8.143;-9474.61
-0.4;8.089;-9474.61
-0.3;8.2405;-9474.61
-0.2;8.332;-9474.61
-0.1;7.7675;-9474.61
0.0;8.0045;-9474.61
0.1;8.152;-9474.61
0.2;7.762;-9474.61
0.3;7.65;-9474.61
0.4;7.737;-9474.61
0.5;7.8825;-9474.61
0.6;8.129;-9474.61
